id,department_id,asset_id,defect_type,severity,days_overdue,est_duration_min,requested_start,requested_end,criticality_score,status,is_safety_critical
TRK-1001,1,TRK-ASSET-001,Weld Fracture Repair,5,12,180,2026-09-02T10:00:00Z,2026-09-02T13:00:00Z,88.5,Pending,TRUE
OHE-3005,3,OHE-ASSET-001,Insulator Cleaning,2,2,120,2026-09-02T11:00:00Z,2026-09-02T13:00:00Z,35.0,Pending,FALSE
SNT-2001,2,SNT-ASSET-001,Signal Inspection,2,1,60,2026-09-02T10:00:00Z,2026-09-02T12:00:00Z,30.0,Pending,FALSE
TRK-1002,1,TRK-ASSET-002,Rail Geometry Correction,4,7,120,2026-09-02T09:00:00Z,2026-09-02T14:00:00Z,72.0,Pending,TRUE
OHE-3002,3,OHE-ASSET-002,Catenary Inspection,3,5,120,2026-09-02T09:00:00Z,2026-09-02T14:00:00Z,58.0,Pending,FALSE
SNT-2002,2,SNT-ASSET-002,Signal Maintenance,2,3,60,2026-09-02T09:00:00Z,2026-09-02T13:00:00Z,42.0,Pending,FALSE
TRK-1003,1,TRK-ASSET-003,Track Geometry Maintenance,3,4,120,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,60.0,Pending,FALSE
OHE-3003,3,OHE-ASSET-003,Contact Wire Inspection,3,6,120,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,62.0,Pending,FALSE
SNT-2003,2,SNT-ASSET-003,Track Circuit Testing,4,8,90,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,70.0,Pending,TRUE
TRK-1004,1,TRK-ASSET-004,Ballast Maintenance,3,5,120,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,55.0,Pending,FALSE
OHE-3004,3,OHE-ASSET-004,Pantograph Clearance Check,2,4,90,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,45.0,Pending,FALSE
TRK-1005,1,TRK-ASSET-005,Turnout Inspection,4,9,120,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,76.0,Pending,TRUE
SNT-2004,2,SNT-ASSET-004,Block Signal Inspection,3,5,60,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,57.0,Pending,FALSE
OHE-3006,3,OHE-ASSET-005,OHE Preventive Maintenance,3,3,120,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,50.0,Pending,FALSE
TRK-1099,1,TRK-ASSET-001,Major Rail Renewal,5,20,360,2026-09-02T09:00:00Z,2026-09-02T15:00:00Z,96.0,Pending,TRUE
